thing_id,fuel_consumption,runhour,runhours,timestamp,time
7289,0.8619622469719559,1496,0:24:56,1640975400,"01/01/2022, 00:00:00"
7289,0.6956462416880527,2483,0:41:23,1641234600,"04/01/2022, 00:00:00"
7289,0.1332642054880182,2300,0:38:20,1641321000,"05/01/2022, 00:00:00"
7289,1.1371034847008872,6240,1:44:00,1641407400,"06/01/2022, 00:00:00"
7289,0.9107904871500239,4232,1:10:32,1641493800,"07/01/2022, 00:00:00"
7289,0.0,0,0:00:00,1641580200,"08/01/2022, 00:00:00"
7289,0.0,0,0:00:00,1641666600,"09/01/2022, 00:00:00"
7289,0.2715933392013028,975,0:16:15,1641753000,"10/01/2022, 00:00:00"
7289,1.8242385540495718,6684,1:51:24,1641839400,"11/01/2022, 00:00:00"
7289,1.0001601005321135,2760,0:46:00,1642012200,"13/01/2022, 00:00:00"
7289,0.5258085598104998,3338,0:55:38,1642185000,"15/01/2022, 00:00:00"
7289,0.0,0,0:00:00,1642271400,"16/01/2022, 00:00:00"
7289,0.0,0,0:00:00,1642357800,"17/01/2022, 00:00:00"
7289,0.2464991247634316,1963,0:32:43,1642444200,"18/01/2022, 00:00:00"
7289,1.6762669218184527,5723,1:35:23,1642617000,"20/01/2022, 00:00:00"
7289,0.9559424091793716,1521,0:25:21,1642703400,"21/01/2022, 00:00:00"
7289,0.3342979995779132,2259,0:37:39,1642789800,"22/01/2022, 00:00:00"
7289,0.36747853253667984,1001,0:16:41,1643049000,"25/01/2022, 00:00:00"
7289,0.0,861,0:14:21,1643308200,"28/01/2022, 00:00:00"
7289,0.4526701708437031,896,0:14:56,1643394600,"29/01/2022, 00:00:00"
7289,1.0782379637828399,2074,0:34:34,1643567400,"31/01/2022, 00:00:00"
7289,0.0,1,0:00:01,1643913000,"04/02/2022, 00:00:00"
7289,0.46910535528209607,599,0:09:59,1644172200,"07/02/2022, 00:00:00"
7289,1.3388145444648103,2374,0:39:34,1644345000,"09/02/2022, 00:00:00"
7289,0.29226805023184,1627,0:27:07,1644431400,"10/02/2022, 00:00:00"
7289,1.7444246245648003,4419,1:13:39,1645036200,"17/02/2022, 00:00:00"
7289,0.5628023427719171,1451,0:24:11,1645122600,"18/02/2022, 00:00:00"
7289,1.419696236354497,6936,1:55:36,1645641000,"24/02/2022, 00:00:00"
7289,0.38803319878068976,2233,0:37:13,1646159400,"02/03/2022, 00:00:00"
7289,0.2752961352025949,2037,0:33:57,1646245800,"03/03/2022, 00:00:00"
7289,1.2194548384184571,3487,0:58:07,1646332200,"04/03/2022, 00:00:00"
7289,0.06939565501888012,1259,0:20:59,1646591400,"07/03/2022, 00:00:00"
7289,0.11766192570188139,1523,0:25:23,1646764200,"09/03/2022, 00:00:00"
7289,0.06420164600314138,1052,0:17:32,1646937000,"11/03/2022, 00:00:00"
7289,0.08425783184804914,1228,0:20:28,1647196200,"14/03/2022, 00:00:00"
7289,0.29760869031373716,2649,0:44:09,1647369000,"16/03/2022, 00:00:00"
7289,0.47476305410557984,2511,0:41:51,1647973800,"23/03/2022, 00:00:00"
7289,0.37311906900755787,3959,1:05:59,1648405800,"28/03/2022, 00:00:00"
7289,0.09024756262832057,1000,0:16:40,1648751400,"01/04/2022, 00:00:00"
