,Unnamed: 0,thing_id,thing_name,clep_id,thing_latitude,thing_longitude,Client Name,Partner Name,City,status,runhour,fuel
304,304,7767,KCMZC00845,1261,17.4675745,78.3694677,CREATIVE KOVEN DEVELOPERS LLP,Mahindra Powerol,Hyderabad,True,NA,NA
305,305,7768,MGBF8088S00609F,1262,19.27250945,72.96296746,Vedant Hospital,Mahindra Powerol,,False,NA,NA
306,306,7769,JGAF8089S00185E,1263,13.225615,80.168352,PA FOOTWEAR PRIVATE LIMITED,Mahindra Powerol,,False,NA,NA
307,307,7770,KEMZE00903,1264,23.02947615,72.2822764,BHAVANI INDUSTRIES,Mahindra Powerol,,False,NA,NA
308,308,7771,MGBF8088S00592F,1265,12.8093222,77.6617899,MAHINDRA ELECTRIC MOBILITY LIMITED,Mahindra Powerol,,False,NA,NA
309,309,7773,KEMZK01184,1266,73.69278337,18.58163756,"Sanas Developers Pvt Ltd, Pune",Mahindra Powerol,,False,NA,NA
310,310,7775,KEMZC00857,1267,23.04164,72.56507,GOKUL REFOILS PVT LTD,Mahindra Powerol,Ahmedabad,True,NA,NA
311,311,7776,DCB BANK LTD,1157,85.061152,24.799364,M/s Goodwill Enterprise/DEB Enterprise,Genset India,,False,NA,NA
312,312,7777,Magarphatta - Curefood,1163,18.498202,73.921398,MPS,Murari Power,Pune,True,NA,NA
313,313,7780,FYLZG11683,1268,12.726124,80.017386,The Lincoln Electric Company (India) Private Limited,Mahindra Powerol,,False,NA,NA
314,314,7781,MGBF8088S00613F,1269,13.010569,79.993977,HITSS Plastico Painting,Mahindra Powerol,,False,NA,NA
315,315,7782,KCKZL00330,1270,10.0774313,76.3077737,Parakkal Industries,Mahindra Powerol,,False,NA,NA
316,316,7783,NWLZG11499,1271,10.970777,76.853345,ISHA LIFE PRIVATE LIMITED,Mahindra Powerol,,False,NA,NA
317,317,7784,KELZK00642,1273,10.9870825,77.2293346,SEYON SACKS,Mahindra Powerol,,False,NA,NA
318,318,7785,Cummins PSO 600,1272,0.0,0.0,A K Enterprises,Phoenix Robotix,,False,NA,NA
